story_id,module,role,title,user_story,acceptance_criteria,priority,source
ESS-01,Employee Self-Service,Employee (User),Responsive web self-service access,"As an Employee (User), I want to access self-service transactions through a responsive web interface, so that I can perform HR-related tasks from any device browser without needing a dedicated app.","Given I am an authenticated employee, when I open the self-service portal in a web browser, then the interface renders responsively across desktop, tablet, and common mobile screen sizes and orientations.; Given I access the portal, when Phase I is in scope, then all self-service transactions are available via the responsive web interface only, with no dependency on a native mobile application.; Given a native mobile application is requested, when it is evaluated against release scope, then it is deferred to Phase II and is not part of this release.; Given I use different browsers or devices, when I load the portal, then layout and functionality remain consistent and usable.",High,FR 6.16.1 (responsive web interface; mobile is Phase II)
ESS-02,Employee Self-Service,Employee (User),View authorized personal and employment information,"As an Employee (User), I want to view my authorized personal and employment information, so that I can confirm my records are accurate and up to date.","Given I am an authenticated employee, when I open my self-service profile, then I can view the personal and employment information I am authorized to see.; Given information exists that I am not authorized to view, when I access my profile, then that information is hidden and not displayed to me.; Given my authorization scope is defined by role and policy, when I view my information, then the visible fields reflect exactly what my role and policy permit.",High,"FR 6.16.2, FR 6.16.4 (view authorized personal and employment information under role/policy control)"
ESS-03,Employee Self-Service,Employee (User),Manage authorized personal and employment information,"As an Employee (User), I want to manage my authorized personal and employment information, so that I can keep my own records current without routing every change through HR.","Given I am an authenticated employee, when I edit a field I am authorized to manage, then the update is validated and saved to my record.; Given a field is outside my authorized scope, when I attempt to change it, then the change is not permitted and the field is read-only or blocked.; Given an update requires approval by policy, when I submit a change, then it is handled according to the applicable policy workflow before taking effect; Given I enter invalid data, when I attempt to save, then the system rejects the change with a validation message and does not persist it.",High,"FR 6.16.2, FR 6.16.4 (manage authorized personal and employment information under role/policy control)"
ESS-04,Employee Self-Service,Employee (User),Access profile information via self-service,"As an Employee (User), I want to access my profile information through self-service, so that I can review my details in one place.","Given I am an authenticated employee, when I open self-service, then a profile information section is available to me.; Given I open the profile section, when it loads, then it displays my authorized profile details.; Given my role or policy restricts certain profile data, when the profile section loads, then only the permitted profile details are shown.",High,"FR 6.16.3, FR 6.16.4 (self-service access to profile information)"
ESS-05,Employee Self-Service,Employee (User),Access leave functions via self-service,"As an Employee (User), I want to access leave functions through self-service, so that I can review balances and act on my leave.","Given I am an authenticated employee, when I open self-service, then leave functions are available to me.; Given I open the leave section, when it loads, then it displays the leave information and actions I am entitled to based on my role and policy.; Given a leave function is not permitted by policy, when I open the leave section, then that function is hidden or blocked.",High,"FR 6.16.3, FR 6.16.4 (self-service access to leave)"
ESS-06,Employee Self-Service,Employee (User),Access announcements via self-service,"As an Employee (User), I want to access announcements through self-service, so that I stay informed of organizational communications.","Given I am an authenticated employee, when I open self-service, then an announcements section is available to me.; Given announcements are published for me, when I open the announcements section, then I can view them.; Given an announcement is targeted to a different audience, when I open announcements, then it is not shown to me.",Medium,FR 6.16.3 (self-service access to announcements)
ESS-07,Employee Self-Service,Employee (User),Access documents and feedback functions via self-service,"As an Employee (User), I want to access documents and feedback-related functions through self-service, so that I can retrieve my documents and participate in feedback activities.","Given I am an authenticated employee, when I open self-service, then documents and feedback-related functions are available to me.; Given I open the documents section, when it loads, then I can access the documents I am authorized to view.; Given a document is outside my authorized scope, when I browse documents, then it is not accessible to me.; Given I open a feedback-related function, when it is available to me by role and policy, then I can perform the associated feedback action.",Medium,"FR 6.16.3, FR 6.16.4 (self-service access to documents and feedback-related functions)"
ESS-08,Employee Self-Service,Company Admin,Role and policy controlled self-service access,"As a Company Admin, I want self-service access to be governed by role and policy, so that employees only see and act on functions permitted to them.","Given a user attempts a self-service action, when access is evaluated, then it is granted or denied based on the user's role and applicable policy.; Given a function is not permitted by the user's role or policy, when the user accesses self-service, then that function is hidden or blocked.; Given roles or policies change, when a user next uses self-service, then their available functions and editable fields reflect the updated role and policy configuration.; Given both viewing and managing are governed, when access is evaluated, then read and edit permissions are each enforced per role and policy.",High,FR 6.16.4 (role and policy controlled access)
ESS-09,Employee Self-Service,Employee (User),Access attendance functions via self-service,"As an Employee (User), I want to access attendance functions through self-service, so that I can review and act on my attendance information.","Given I am an authenticated employee, when I open self-service, then attendance functions are available to me.; Given I open the attendance section, when it loads, then it displays the attendance information and actions I am entitled to based on my role and policy.; Given an attendance function is not permitted by policy, when I open the attendance section, then that function is hidden or blocked.",High,"FR 6.16.3, FR 6.16.4 (self-service access to attendance)"
ESS-10,Employee Self-Service,Employee (Non-User),Non-user employees excluded from self-service,"As an Employee (Non-User), I want my HR records to be maintained on my behalf, so that I am covered by the system even though I have no self-service login.","Given an employee is designated as a Non-User, when self-service access is provisioned, then no self-service login is granted to that employee.; Given a Non-User employee exists, when their transactions must be performed, then they are handled by HR or an authorized admin rather than through employee self-service.; Given a Non-User is later converted to a User, when access is granted, then they gain role- and policy-controlled self-service access consistent with other users.",Medium,"FR 6.16.2, FR 6.16.4 (self-service is user- and role/policy-scoped; non-users have no portal access)"
