story_id,module,role,title,user_story,acceptance_criteria,priority,source
NTF-01,Notifications and Communications,Company Admin,Mandatory email notification channel,"As a Company Admin, I want email to be available as a mandatory, always-on notification channel, so that all critical HRMS communications reliably reach every recipient regardless of other channel availability.","Given the notification system is provisioned for a company, when channels are configured, then email is always enabled and cannot be disabled or removed as a channel.; Given an event triggers a notification, when no other channel is selected or available, then the notification is delivered via email by default.; Given a recipient (including an Employee (Non-User)) has no in-app or portal access, when an event targets them, then email is used as the fallback delivery channel.; Given a user attempts to opt out of email in their preferences, when saving, then email remains enforced for mandatory/critical communications.",High,FR 6.27.1 (Channels — Email mandatory)
NTF-02,Notifications and Communications,Employee (User),Optional in-app notifications,"As an Employee (User), I want to receive in-app notifications within the HRMS when the company enables them, so that I can see relevant updates without leaving the application.","Given in-app notifications are enabled for the company, when an event targets me, then I see the notification inside the application in real time.; Given in-app notifications are optional, when the company has not enabled them, then no in-app notifications are shown and other enabled channels are used.; Given I have unread in-app notifications, when I open the notification area, then I can view them and they reflect the correct event context.; Given in-app is enabled alongside email, when an event fires, then delivery respects the recipient's channel preferences subject to mandatory email.",Medium,FR 6.27.1 (Channels — in-app optional)
NTF-03,Notifications and Communications,Company Admin,Microsoft Teams and WhatsApp connectors,"As a Company Admin, I want to optionally enable Microsoft Teams and WhatsApp delivery via third-party connectors, so that employees can receive notifications on the messaging tools they already use.","Given a third-party connector for Teams or WhatsApp is configured and available, when a notification event fires, then the notification can be delivered through that connector.; Given these channels are optional, when no connector is configured, then Teams/WhatsApp delivery is unavailable and other enabled channels (with email as fallback) are used.; Given a connector is enabled, when I choose it for an event type, then notifications route through the connector in addition to or instead of other optional channels while email remains mandatory.; Given a connector becomes unavailable or fails, when delivery is attempted, then the system falls back to email so the notification is not lost.",Low,"FR 6.27.1 (Channels — Teams/WhatsApp via connectors, optional)"
NTF-04,Notifications and Communications,Company Admin,Approval notifications,"As a Company Admin, I want to receive approval notifications, so that I am promptly informed when items require my approval and can act without delay.","Given an item requires my approval, when it is submitted, then I receive an approval notification through my configured channels with email guaranteed.; Given an approval notification is sent, when I open it, then it identifies the item, the requester, and the action awaiting me.; Given an approval event, when the notification is generated, then it is dispatched event-driven (immediately) rather than waiting for a batch.; Given multiple approvals are pending, when a digest schedule applies, then approval notifications may also be consolidated into a digest per user preference.",High,FR 6.27.2 (Events — approval notifications)
NTF-05,Notifications and Communications,Company Admin,Escalation alerts,"As a Company Admin, I want to receive escalation alerts, so that overdue or unattended items are surfaced to the right person before they are missed.","Given an item meets its escalation condition, when the escalation triggers, then an escalation alert is sent to the appropriate recipient(s).; Given an escalation alert is delivered, when it is received, then it indicates the item, the reason for escalation, and the required action.; Given an item remains unattended after escalation, when the next escalation threshold is met, then a further escalation alert is dispatched to the next recipient in the chain.; Given escalation alerts, when they fire, then they are delivered event-driven so overdue items are surfaced in real time.",High,FR 6.27.2 (Events — escalation alerts)
NTF-06,Notifications and Communications,Employee (User),Workflow status change notifications,"As an Employee (User), I want to be notified when the status of a workflow I am involved in changes, so that I stay aware of progress and outcomes.","Given a workflow status changes, when the change is committed, then all affected participants receive a status change notification through their configured channels.; Given a status change notification is received, when I read it, then it reflects the new workflow status and the item it relates to.; Given I am not a participant in a workflow, when its status changes, then I do not receive a notification for it.; Given I have subscribed to workflow status events, when a change occurs, then delivery respects my channel and frequency preferences.",Medium,FR 6.27.2 (Events — workflow status changes)
NTF-07,Notifications and Communications,Employee (User),Reminders and lifecycle event notifications,"As an Employee (User), I want to receive reminders and lifecycle event notifications, so that I do not miss pending actions or key employment events.","Given a reminder condition is met, when it triggers, then a reminder notification is delivered to the relevant recipient through their configured channels.; Given a lifecycle event occurs (e.g., onboarding, role change, exit), when it is recorded, then a corresponding lifecycle event notification is sent to the affected parties.; Given a reminder relates to a pending action, when I receive it, then it identifies the action and its due context.; Given reminders can recur, when the pending action is still outstanding, then subsequent reminders may be sent per the configured schedule.",Medium,FR 6.27.2 (Events — reminders and lifecycle events)
NTF-08,Notifications and Communications,Platform Admin,Event-driven delivery,"As a Platform Admin, I want the platform to deliver notifications in an event-driven manner, so that recipients are informed in real time as events occur.","Given a notification-triggering event occurs, when it is processed, then the corresponding notification is generated and dispatched immediately.; Given event-driven delivery, when an event fires, then delivery does not wait for a scheduled batch or digest.; Given a delivery attempt fails on the selected channel, when event-driven dispatch runs, then the system retries or falls back to email so the notification is delivered.; Given high event volume, when many events fire, then each is processed and dispatched without blocking others.",High,FR 6.27.3 (Delivery Models — event-driven)
NTF-09,Notifications and Communications,Employee (User),Scheduler-driven digests and summaries,"As an Employee (User), I want to receive scheduler-driven digests and summaries, so that I can consolidate multiple updates instead of receiving them individually.","Given a digest schedule is configured, when the scheduled time arrives, then accumulated notifications are compiled and delivered as a single digest or summary.; Given scheduler-driven delivery, when the schedule runs, then it aggregates the relevant events for the period since the last digest.; Given no events occurred in the period, when the schedule runs, then no empty digest is sent (or an empty-state summary per configuration).; Given I have set a delivery frequency, when the scheduler runs, then digests honor my frequency preference.",Medium,FR 6.27.3 (Delivery Models — scheduler-driven digests/summaries)
NTF-10,Notifications and Communications,Company Admin,Configurable branded templates,"As a Company Admin, I want configurable notification templates with company branding, so that communications present a consistent, professional identity.","Given a notification template, when I edit it, then I can apply company branding (logo, colors, styling) and save the configuration.; Given branding is configured, when a notification is sent using the template, then the delivered message reflects the company branding.; Given multiple event types, when I configure templates, then each event type can have its own branded template.; Given a template is updated, when new notifications are generated, then they use the latest saved template version.",Medium,FR 6.27.4 (Templating — configurable templates with branding)
